Token              Lexeme
---------------------------------
Keyword          while
Separator        (
Identifier       k
Separator        <
Identifier       lower
Separator        )
Identifier       s
Separator        =
Real             33.00
Separator        ;
Keyword          while
Separator        (
Identifier       k
Separator        <
Identifier       upper
Separator        )
Separator        {
Keyword          if
Separator        (
Identifier       s
Separator        <
Real             33.00
Separator        )
Separator        {
Identifier       s
Separator        =
Real             33.00
Separator        ;
Separator        }
Separator        }
Identifier       This
Identifier       should
Identifier       be
Identifier       ignored
Identifier       as
Identifier       well
Keyword          class
Identifier       A
Separator        {
Identifier       k
Separator        =
Identifier       k
Integer          1
Separator        ;
Identifier       s
Separator        =
Identifier       s
Real             1.00
Separator        ;
Keyword          System
Separator        .
Keyword          out
Separator        .
Keyword          println
Separator        (
Identifier       s
Separator        )
Separator        ;
Separator        }
